stream_id,stream_name,material,source_process,monthly_quantity_kg,current_route,disposal_cost_per_month,contamination_risk,hazardous_flag,department,supplier,supplier_takeback_available,recycled_content_available,notes
S001,Aluminium machining offcuts,metals,CNC machining,1850,sold as mixed scrap,420,low,false,Manufacturing,AluForm Metals Ltd,unknown,yes,"Clean, segregated aluminium offcuts from repeated machining jobs; alloy grade not always recorded."
S002,Stainless steel sheet offcuts,metals,sheet cutting,980,metal recycler,180,low,false,Fabrication,SteelSource UK,yes,yes,Consistent stainless steel offcuts; supplier has indicated possible closed-loop return for segregated grades.
S003,Mixed ferrous swarf,metals,drilling and milling,760,general scrap skip,95,medium,false,Manufacturing,MachPro Supplies,unknown,yes,Swarf may contain cutting fluid residue; requires better segregation and de-oiling check.
S004,Copper cable offcuts,metals,electrical assembly,310,sold to recycler,60,low,false,Electrical Assembly,ElectroCore Components,no,yes,High value copper stream currently recycled openly; could be improved through supplier or specialist recovery route.
S005,Rejected zinc castings,metals,die casting quality control,540,re-melted internally,40,low,false,Quality Control,Castwell Foundry,yes,yes,Internal re-melt already in place; opportunity is process scrap reduction rather than new recycling route.
S006,Paint-contaminated metal brackets,metals,coating line rejects,290,landfill,310,high,false,Coatings,BrightCoat Industrial,unknown,unknown,Paint contamination limits direct recycling; needs coating removal or design/process review.
S007,HDPE purge material,plastics,extrusion line purge,1250,open-loop recycling,260,medium,false,Plastics Processing,PolyMax Resins,yes,yes,Mostly HDPE but colour variation and purge contamination reduce closed-loop suitability.
S008,Mixed polymer injection moulding rejects,plastics,injection moulding,1680,landfill,720,high,false,Plastics Processing,MultiPoly Supply Co,unknown,unknown,Mixed polymer and colour contamination; needs material identification before reprocessing decisions.
S009,Clear PET sheet trim,plastics,thermoforming,910,plastic recycler,160,low,false,Packaging Line,ClearPack Materials,yes,yes,Clean PET trim stream with potential for closed-loop recycling if separately collected.
S010,LDPE shrink wrap from inbound pallets,plastics,goods-in packaging,640,baled recycling,120,low,false,Warehouse,LogiWrap Packaging,yes,yes,Repeated supplier packaging stream; opportunity for returnable transport packaging or take-back.
S011,ABS casing rejects,plastics,product assembly defects,430,stored for disposal,150,medium,false,Assembly,MouldTech Plastics,unknown,yes,Rejected casings are identifiable ABS; possible regrind route but quality specification needs review.
S012,Contaminated plastic drums,plastics,chemical storage,220,hazardous waste contractor,680,high,true,EHS,ChemStor Logistics,yes,unknown,Previously held industrial chemicals; human review required before any reuse or recycling option.
S013,Corrugated cardboard cartons,cardboard/packaging,inbound materials packaging,2400,recycling compactor,210,low,false,Warehouse,PackRight Ltd,yes,yes,High-volume clean cardboard from repeated suppliers; opportunity to reduce packaging or introduce returnable crates.
S014,Damaged cardboard cores,cardboard/packaging,film winding,520,recycling,45,low,false,Packaging Line,CorePak Industrial,yes,yes,Consistent stream that may be reusable internally for lower-grade winding or returned to supplier.
S015,Mixed packaging waste,cardboard/packaging,final assembly packaging,780,general waste,390,medium,false,Assembly,Various Suppliers,unknown,unknown,"Mixed cardboard, plastic and foam in one skip; segregation is the first circular action."
S016,Expanded foam inserts,cardboard/packaging,component packaging,360,landfill,280,low,false,Warehouse,FoamGuard Packaging,no,unknown,"Bulky protective packaging; review reusable inserts, supplier redesign or alternative material."
S017,Returnable plastic totes,cardboard/packaging,supplier deliveries,0,internal reuse,0,low,false,Supply Chain,AutoParts Direct,yes,yes,Already using returnable totes; maintain tracking and loss-rate monitoring.
S018,Broken wooden pallets,wood/pallets,goods-in logistics,680,pallet repair contractor,95,low,false,Warehouse,PalletLoop Services,yes,yes,Repair route exists; opportunity to increase pallet pooling and reduce one-way pallet purchases.
S019,Untreated timber offcuts,wood/pallets,crate fabrication,470,energy recovery,130,low,false,Fabrication,TimberBox Supplies,unknown,yes,Clean untreated wood could be reused for dunnage before recovery.
S020,Contaminated painted timber,wood/pallets,site maintenance,160,controlled disposal,260,high,unknown,Facilities,BuildFix Contractors,unknown,unknown,"Painted timber composition is uncertain; requires review before reuse, recycling or recovery."
S021,Reusable export crates,wood/pallets,outbound logistics,85,customer disposal,70,low,false,Logistics,CrateWorks Ltd,yes,yes,Low quantity but high reuse potential; explore customer return loop or deposit system.
S022,Spent acetone solvent,chemicals/solvents,surface cleaning,390,hazardous waste contractor,1250,high,true,Coatings,CleanChem Supplies,yes,unknown,"High-cost hazardous stream; possible solvent recovery review, but human EHS review required."
S023,Aqueous cleaning solution,chemicals/solvents,parts washing,820,wastewater treatment,480,medium,unknown,Maintenance,AquaClean Industrial,unknown,unknown,Composition and discharge limits need confirmation before any recovery or reuse recommendation.
S024,Expired adhesive cartridges,chemicals/solvents,assembly bonding,95,hazardous disposal,540,high,true,Assembly,BondPro Chemicals,yes,unknown,Avoidance and stock control likely stronger than recovery; human review required.
S025,Powder coating overspray,chemicals/solvents,powder coating booth,260,specialist recovery,190,medium,false,Coatings,BrightCoat Industrial,yes,yes,Potential recovery stream if colour batches are segregated; quality control needed.
S026,Used lubricating oil,chemicals/solvents,machine maintenance,310,oil recovery contractor,210,medium,true,Maintenance,LubeLine UK,yes,unknown,Existing recovery route; track volumes and confirm contractor evidence.
S027,Used filtration fabric,textiles,air filtration system,140,general waste,180,medium,unknown,EHS,FilterPro Systems,yes,unknown,May contain process dust; needs contamination assessment before recycling or reuse.
S028,Clean textile offcuts,textiles,protective cover fabrication,230,general waste,110,low,false,Fabrication,TextileTech Ltd,unknown,yes,"Clean offcuts may suit industrial symbiosis with insulation, padding or composite filler users."
S029,Damaged PPE garments,textiles,staff PPE management,75,general waste,95,medium,unknown,EHS,SafeWear Supplies,yes,unknown,Reuse inappropriate; supplier take-back or textile recycling may be possible depending on contamination.
S030,Reusable cleaning cloths,textiles,maintenance cleaning,0,laundry reuse contract,0,medium,false,Maintenance,CleanCycle Laundry,yes,yes,"Already under reuse model; dashboard should treat as existing circular practice, not diversion opportunity."
S031,Clear glass cullet,glass,quality rejected panels,560,glass recycler,85,low,false,Quality Control,GlassLine Materials,unknown,yes,Clean glass waste; review closed-loop option with supplier if grade and coating status are known.
S032,Laminated safety glass rejects,glass,final inspection,240,specialist disposal,320,medium,false,Quality Control,SafeView Glass,yes,unknown,Laminated composition limits standard recycling; specialist recovery route required.
S033,Contaminated lab glassware,glass,testing laboratory,60,hazardous disposal,260,high,true,Laboratory,LabServe UK,unknown,unknown,Potential contamination and breakage risk; human review required.
S034,Rubber trimming waste,rubber,gasket trimming,430,general waste,190,low,false,Manufacturing,SealForm Rubber,unknown,yes,Consistent rubber offcuts; possible granulation or use as secondary material.
S035,Rejected rubber seals,rubber,quality control rejects,310,general waste,150,low,false,Quality Control,SealForm Rubber,yes,yes,Identifiable material with supplier relationship; review take-back or regrind potential.
S036,Oil-contaminated rubber mats,rubber,maintenance area,120,controlled disposal,300,high,unknown,Maintenance,SafeFloor Industrial,unknown,unknown,Contamination risk blocks circular route until assessed.
S037,PCB assembly rejects,electronic components,electronics testing,95,WEEE recycler,210,medium,true,Electrical Assembly,CircuitHub Components,yes,yes,Contains valuable metals but requires compliant WEEE and hazardous component handling.
S038,Copper wiring harness rejects,electronic components,wiring assembly,180,metal recycler,55,low,false,Electrical Assembly,ElectroCore Components,yes,yes,Reusable components may be recovered before material recycling if quality status is known.
S039,Obsolete sensor modules,electronic components,inventory write-off,70,stored,0,low,false,Stores,SenseTech Ltd,yes,unknown,"Potential internal reuse, resale, supplier return or responsible WEEE route; currently tied up in storage."
S040,Damaged lithium battery packs,electronic components,returns inspection,45,hazardous specialist,900,high,true,Returns,PowerCell Systems,yes,unknown,High-risk battery stream; only specialist handling and human review are suitable.
S041,Food-grade starch residue,organic/process residue,bio-based coating trial,1150,anaerobic digestion,280,low,false,R&D Pilot Line,BioChem Materials,unknown,yes,Could suit industrial symbiosis with AD or bio-based material users; verify consistency and contamination.
S042,Wastewater treatment sludge,organic/process residue,onsite water treatment,2200,specialist treatment,860,medium,unknown,Utilities,WaterTreat Services,unknown,unknown,Composition and regulatory status need confirmation before valorisation or recovery.
S043,Coffee grounds from staff canteen,organic/process residue,canteen operations,130,general waste,70,low,false,Facilities,Canteen Supplier,unknown,yes,Small stream; possible composting or local organic recovery but not a major industrial priority.
S044,Biomass fibre residue,organic/process residue,pilot composite line,680,stored for review,40,low,false,R&D Pilot Line,BioFiber Labs,yes,yes,Potential input for composite filler or external symbiosis partner; needs specification sheet.
S045,Grease trap waste,organic/process residue,canteen wastewater,210,specialist disposal,240,high,true,Facilities,WasteCare Services,unknown,unknown,Handled as controlled waste; human review and contractor evidence required.
S046,Ceramic grinding sludge,process mineral residue,surface finishing,520,landfill,410,medium,unknown,Finishing,AbrasiveTech Ltd,unknown,unknown,"May have industrial symbiosis potential as mineral filler, but water content and contaminants are unknown."
S047,Returnable steel drums,metals,bulk material deliveries,35,supplier return,0,low,false,Supply Chain,ChemStor Logistics,yes,yes,Existing supplier return loop; monitor loss rate and document circular procurement benefit.
S048,Rejected printed labels,cardboard/packaging,labelling line setup,90,general waste,35,low,false,Packaging Line,LabelWorks Ltd,unknown,yes,Low-value paper stream; reduction through print setup optimisation is better than recycling focus.
S049,Process water rinse stream,process water,component rinsing,5000,wastewater treatment,650,medium,unknown,Utilities,AquaClean Industrial,unknown,unknown,High-volume resource stream; needs water quality data before reuse or recovery option.
S050,Waste heat from curing oven,energy/resource stream,thermal curing,0,lost to atmosphere,0,low,false,Manufacturing,HeatTech Ovens,unknown,unknown,Potential heat recovery or local use case; quantity requires energy metering rather than waste mass tracking.
